route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
155,07:44:30,0.2,1000,700,3,45,8,28,42,3,5,1770,8220.738000000001,,0.0003018379211425781,,-5220.738000000001
195,07:09:00,0,1000,700,2,50,10,37,45,5,8,0,9689.867000000002,,0.00039386749267578125,,-4689.867000000002
194,07:10:00,0.2,1000,700,5,52,12,22,45,7,7,2079,9045.554,,0.00030493736267089844,,-2045.554
55,15:58:00,0.4,1000,700,10,71,23,37,57,14,13,3922,16683.932,,0.001127004623413086,,-2683.9320000000007
195,13:21:00,0.2,1000,700,5,42,15,30,32,10,10,2130.006755547598,10531.289999999999,,0.0003261566162109375,,-531.289999999999
192,08:28:00,0.2,1000,700,3,34,11,23,29,5,8,1420.344846098782,8332.342999999999,,0.0002627372741699219,,-3332.342999999999
193,08:16:30,0.4,1000,700,6,44,10,27,37,7,4,1266,5850.455,,0.0002770423889160156,,1149.545
198,19:44:00,1,1000,700,8,24,8,10,19,5,0,663.8587598425074,3567.585,,8.702278137207031e-05,,1432.415
196,16:23:30,0.2,1000,700,4,29,14,9,21,8,10,1562,7932.811,,0.00031185150146484375,,67.1890000000003
192,08:28:00,0.2,1000,700,3,34,7,28,31,3,4,1432,7081.02,,0.0002040863037109375,,-4081.0200000000004
193,08:16:30,0.4,1000,700,6,43,12,22,35,8,6,1271.6466088045818,5921.581,,0.0002849102020263672,,2078.419
198,19:44:00,1,1000,700,8,23,8,11,15,8,0,686,3464.248,,8.893013000488281e-05,,4535.752
55,15:58:00,1,1000,700,23,72,25,42,59,13,2,3922,15353.814000000002,,0.0005371570587158203,,-2353.814000000002
196,16:23:30,0.2,1000,700,4,29,11,15,23,6,7,1562,7465.038999999999,,0.0002932548522949219,,-1465.0389999999989
187,16:47:00,0.2,1000,700,7,41,19,30,30,11,12,2284,13642.155,,0.00047898292541503906,,-2642.1550000000007
55,15:58:00,0.4,1000,700,10,72,26,33,54,18,16,3922,16601.756999999998,,0.001294851303100586,,1398.2430000000022
155,07:44:30,0.2,1000,700,3,42,9,28,37,5,6,1770.1220472440982,8265.64,,0.00038909912109375,,-3265.6399999999994
195,07:09:00,0,1000,700,2,48,11,29,41,7,9,0.0,10984.898000000001,,0.00044083595275878906,,-3984.898000000001
199,13:24:30,1,1000,700,20,26,21,18,19,7,1,2873,11245.678,,0.00016880035400390625,,-4245.678
185,15:27:00,0.4,1000,700,8,25,16,13,14,11,8,2021,8157.098,,0.00019097328186035156,,2842.902
198,19:44:00,0,1000,700,2,24,4,13,22,2,2,0,3440.209,,0.00011920928955078125,,-1440.2089999999998
196,09:57:30,0.4,1000,700,7,15,11,12,11,4,4,1383,7759.628,,0.00012302398681640625,,-3759.6279999999997
199,13:24:30,0.4,1000,700,9,26,14,21,22,4,5,2873,12026.893999999998,,0.00020885467529296875,,-8026.893999999998
193,13:30:30,0.4,1000,700,7,48,13,22,39,9,6,1494,6551.314,,0.0005888938903808594,,2448.6859999999997
