route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
192,14:50:30,0.2,1000,700,3,4,53,38,22,20,28,25,18,20,2118.0,9095.5,0.05271100997924805,0.14655399322509766,0.0,15904.5
196,09:57:30,1,1000,700,14,15,15,8,17,6,9,6,2,6,1956.0,8015.946,0.0020020008087158203,0.0008780956268310547,0.0,-2015.946
194,07:10:00,1,1000,700,22,23,51,23,25,21,37,14,2,21,2372.0,8928.65,0.01055002212524414,0.0014181137084960938,0.0,5071.35
187,13:47:00,0.2,1000,700,6,7,41,42,33,16,19,22,26,16,3338.0,13816.907,0.03651905059814453,0.03613615036010742,0.0,8183.093000000001
199,16:04:00,1,1000,700,19,20,43,18,25,13,19,24,5,13,3025.0,12363.740999999998,0.007605075836181641,0.003271818161010742,0.0,11636.259000000002
155,13:50:00,1,1000,700,14,15,31,20,17,18,20,11,2,18,1607.0,6196.468000000001,0.005815744400024414,0.0010988712310791016,0.0,4803.531999999999
199,13:24:30,0,1000,700,1,2,26,31,25,8,7,19,23,8,3030.0,13520.887999999997,0.04182696342468262,0.026827096939086914,0.0,5479.112000000003
195,07:09:00,1,1000,700,22,23,48,24,26,21,34,14,3,21,2459.528901216894,9635.070999999998,0.0110321044921875,0.0019059181213378906,0.0,4364.929000000002
196,09:57:30,0.4,1000,700,6,7,15,15,18,4,6,9,11,4,1956.0,8197.720000000001,0.003114938735961914,0.001528024673461914,0.0,802.2799999999988
185,15:27:00,0.4,1000,700,7,8,27,21,17,12,15,12,9,12,2159.0,8376.784000000001,0.009000301361083984,0.005029916763305664,0.0,3623.2159999999985
55,15:58:00,0,1000,700,1,2,72,61,46,17,19,53,44,17,4074.0,18176.131999999998,0.3902902603149414,1.1216979026794434,0.0,34823.868
198,19:44:00,0,1000,700,1,2,23,17,10,9,9,14,8,9,946.0,4139.721,0.011806011199951172,0.012656927108764648,0.0,9860.279
155,07:44:30,0.2,1000,700,2,3,45,33,19,17,20,25,16,17,1926.0,8477.269,0.06958293914794922,0.03287816047668457,0.0,16522.731
