route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
191,13:41:30,0.4,1000,700,7,23,6,9,18,5,-1,1938.555319848303,5095.779684128705,,4.506111145019531e-05,,-95.77968412870541
187,13:47:00,0,1000,700,2,38,13,19,29,9,11,0.0,9048.344000000001,,0.0003941059112548828,,-48.34400000000096
191,07:22:00,0.4,1000,700,6,31,10,8,24,7,4,1925.352829883701,5727.376734896091,,0.00012493133544921875,,1272.623265103909
199,16:04:00,0.2,1000,700,5,43,12,14,38,5,7,3106.5545514197147,11853.653,,0.0003540515899658203,,-6853.653
195,13:21:00,0.4,1000,700,10,40,17,18,28,12,7,2633.722306728705,9864.884999999998,,0.00022292137145996094,,2135.1150000000016
194,07:10:00,0.4,1000,700,10,51,18,11,41,10,8,3079.139577368169,9517.488000000001,,0.00039386749267578125,,482.5119999999988
192,14:50:30,0,1000,700,2,53,7,19,48,5,5,0.0,6719.268,,0.0002906322479248047,,-1719.268
185,07:21:00,0,1000,700,2,89,12,35,82,7,10,0.0,16336.698000000002,,0.0008089542388916016,,-9336.698000000002
196,09:57:30,0,1000,700,2,15,1,11,15,0,-1,0.0,1397.115,,4.696846008300781e-05,,-1397.115
193,13:30:30,0,1000,700,2,48,10,13,40,8,8,0.0,8377.9,,0.00032520294189453125,,-377.89999999999964
185,07:21:00,0.4,1000,700,12,89,21,23,72,17,9,4494.493915533283,13948.713,,0.0010480880737304688,,3051.2870000000003
191,13:41:30,0.2,1000,700,4,23,8,7,18,5,4,1854.0212289392075,7163.071684128706,,0.00017499923706054688,,-2163.071684128706
193,13:30:30,0.4,1000,700,7,48,9,15,38,10,2,2261.8948043426353,5908.504,,0.0002510547637939453,,4091.496
199,13:24:30,0.4,1000,700,9,29,16,9,13,16,7,3738.348298437122,13304.889,,0.00014281272888183594,,2695.111000000001
199,13:24:30,1,1000,700,20,30,23,7,9,21,3,4653.043299630153,11925.976999999999,,0.00012803077697753906,,9074.023000000001
187,16:47:00,0.2,1000,700,7,43,20,13,28,15,13,3954.6453934025267,15698.054999999998,,0.00036787986755371094,,-698.0549999999985
55,15:58:00,1,1000,700,23,71,26,15,26,45,3,6495.749187246474,16253.357,,0.0002720355987548828,,28746.643
187,16:47:00,1,1000,700,30,43,33,7,10,33,3,5362.074668933426,13112.317,,0.0001761913299560547,,19887.683
185,15:27:00,0.2,1000,700,4,26,10,14,20,6,6,2931.312157003107,10850.081999999999,,0.00013899803161621094,,-4850.0819999999985
192,08:28:00,0.4,1000,700,6,33,16,6,20,13,10,2014.635364471491,9745.639,,0.0002009868621826172,,3254.361000000001
55,18:56:00,1,1000,700,28,58,30,13,17,41,2,8273.570172691485,19607.692000000003,,0.00023889541625976562,,21392.307999999997
193,08:16:30,0.4,1000,700,6,43,12,10,20,23,6,1801.051561381526,6128.790999999999,,0.00014400482177734375,,16871.209000000003
198,19:44:00,1,1000,700,8,23,9,7,13,10,1,1168.2666875447467,3616.9899999999993,,9.083747863769531e-05,,6383.01
