route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
198,19:44:00,0,1000,700,2,23,4,15,18,5,2,0,3725.71,,2.7179718017578125e-05,,1274.29
155,07:44:30,0.2,1000,700,3,45,7,29,35,10,4,1770,7942.210999999999,,5.5789947509765625e-05,,2057.7890000000007
195,07:09:00,0,1000,700,2,50,7,40,47,3,5,0,10164.142999999998,,5.936622619628906e-05,,-7164.142999999998
194,07:10:00,0.2,1000,700,5,52,10,24,39,13,5,2079,9574.134999999998,,5.7697296142578125e-05,,3425.8650000000016
55,15:58:00,0.4,1000,700,10,71,19,41,56,15,9,3922,16741.010000000002,,7.867813110351562e-05,,-1741.010000000002
195,13:21:00,0.2,1000,700,5,42,13,32,30,12,8,2132.0296170365036,10268.561000000002,,5.602836608886719e-05,,1731.4389999999985
192,08:28:00,0.2,1000,700,3,34,8,26,29,5,5,1411.24051539012,7710.677,,4.00543212890625e-05,,-2710.6769999999997
193,08:16:30,0.4,1000,700,6,44,9,28,33,11,3,1266,5609.099999999999,,4.291534423828125e-05,,5390.900000000001
198,19:44:00,1,1000,700,8,24,8,10,18,6,0,663.8587598425074,3567.585,,2.4080276489257812e-05,,2432.415
196,16:23:30,0.2,1000,700,4,29,13,10,15,14,9,1562,7710.380000000001,,4.7206878662109375e-05,,6289.619999999999
192,08:28:00,0.2,1000,700,3,34,7,28,31,3,4,1432,7663.528,,4.00543212890625e-05,,-4663.528
193,08:16:30,0.4,1000,700,6,43,10,24,31,12,4,1266,5715.753,,4.410743713378906e-05,,6284.247
198,19:44:00,1,1000,700,8,23,8,11,15,8,0,686,3464.248,,2.4080276489257812e-05,,4535.752
55,15:58:00,1,1000,700,23,72,25,42,58,14,2,3922,15353.814000000002,,7.295608520507812e-05,,-1353.8140000000021
196,16:23:30,0.2,1000,700,4,29,10,16,20,9,6,1562,8315.367,,3.886222839355469e-05,,684.6329999999998
187,16:47:00,0.2,1000,700,7,41,14,35,31,10,7,2284,12899.576000000001,,4.982948303222656e-05,,-2899.576000000001
55,15:58:00,0.4,1000,700,10,72,22,37,52,20,12,3940.921125626337,16981.307,,7.915496826171875e-05,,3018.6929999999993
155,07:44:30,0.2,1000,700,3,42,7,30,38,4,4,1786.225080529708,8337.627,,4.7206878662109375e-05,,-4337.627
195,07:09:00,0,1000,700,2,48,6,34,43,5,4,0,10076.453999999998,,5.078315734863281e-05,,-5076.453999999998
199,13:24:30,1,1000,700,20,26,21,18,19,7,1,2873,11245.678,,3.504753112792969e-05,,-4245.678
185,15:27:00,0.4,1000,700,8,25,13,16,14,11,5,2034.4540085898334,8431.297,,3.075599670410156e-05,,2568.7029999999995
198,19:44:00,0,1000,700,2,24,6,11,19,5,4,0,3974.088,,2.9087066650390625e-05,,1025.9119999999998
196,09:57:30,0.4,1000,700,7,15,11,12,10,5,4,1383,7145.66,,2.5987625122070312e-05,,-2145.66
199,13:24:30,0.4,1000,700,9,26,15,20,19,7,6,2873,12031.136999999999,,3.790855407714844e-05,,-5031.136999999999
193,13:30:30,0.4,1000,700,7,48,12,23,38,10,5,1494,6538.472,,5.602836608886719e-05,,3461.5280000000002
195,07:09:00,1,1000,700,23,50,23,28,39,11,0,2242,9212.719,,5.412101745605469e-05,,1787.2810000000009
187,13:47:00,0.2,1000,700,7,40,15,28,30,10,8,2284,12624.113000000001,,4.887580871582031e-05,,-2624.113000000001
199,16:04:00,1,1000,700,20,43,21,17,29,14,1,2913,11726.500999999998,,4.506111145019531e-05,,2273.4990000000016
155,13:50:00,1,1000,700,15,30,16,20,25,5,1,1500,6181.702000000001,,4.029273986816406e-05,,-1181.7020000000011
196,16:23:30,0,1000,700,2,27,6,19,22,5,4,0,8442.132,,4.1961669921875e-05,,-3442.1319999999996
191,13:41:30,0.2,1000,700,4,22,9,17,15,7,5,1270,5988.248684128705,,3.409385681152344e-05,,1011.7513158712954
192,14:50:30,0.2,1000,700,4,53,10,34,38,15,6,1686,8366.693,,5.602836608886719e-05,,6633.307000000001
194,07:10:00,1,1000,700,23,51,22,19,32,19,-1,2236,8741.315,,4.506111145019531e-05,,10258.685
192,08:28:00,0,1000,700,2,34,4,31,32,2,2,0,6587.955000000002,,3.790855407714844e-05,,-4587.955000000002
185,07:21:00,0.4,1000,700,12,88,21,47,75,13,9,3339.3873031496078,14255.428,,0.00015306472778320312,,-1255.4279999999999
193,13:30:30,0,1000,700,2,48,6,29,40,8,4,0,6297.699,,4.982948303222656e-05,,1702.3010000000004
193,08:16:30,0,1000,700,2,44,6,31,37,7,4,0,6450.448,,4.291534423828125e-05,,549.5519999999997
199,16:04:00,0,1000,700,2,43,8,26,34,9,6,0,13046.663,,5.0067901611328125e-05,,-4046.6630000000005
155,13:50:00,0,1000,700,2,31,7,25,27,4,5,0,6892.415000000001,,3.886222839355469e-05,,-2892.415000000001
55,18:56:00,0.2,1000,700,6,58,17,37,47,11,11,3965.61314423765,22019.350999999995,,7.987022399902344e-05,,-11019.350999999995
196,09:57:30,0,1000,700,2,15,6,9,10,5,4,0,8246.676,,2.3126602172851562e-05,,-3246.6759999999995
194,07:10:00,0,1000,700,2,51,3,36,46,5,1,0,8611.867,,4.482269287109375e-05,,-3611.867
196,16:23:30,1,1000,700,15,28,15,13,20,8,0,1791,7461.303,,3.504753112792969e-05,,538.6970000000001
195,07:09:00,0.2,1000,700,5,48,9,31,40,8,4,728,8862.363,,7.104873657226562e-05,,-862.3629999999994
185,07:21:00,0,1000,700,2,88,8,58,83,5,6,0,15093.975999999995,,0.0001010894775390625,,-10093.975999999995
192,08:28:00,1,1000,700,13,34,12,22,24,10,-1,1828,7236.521,,3.1948089599609375e-05,,2763.4790000000003
155,13:50:00,0.2,1000,700,4,30,6,23,24,6,2,1405.7337151037937,6701.286,,3.4809112548828125e-05,,-701.2860000000001
193,08:16:30,1,1000,700,14,43,14,24,33,10,0,1370,5418.034000000001,,4.220008850097656e-05,,4581.965999999999
192,14:50:30,0,1000,700,2,53,7,36,47,6,5,0,9174.235999999997,,5.91278076171875e-05,,-3174.235999999997
187,16:47:00,1,1000,700,30,45,31,24,29,16,1,3289,12328.012,,5.1021575927734375e-05,,3671.9879999999994
196,09:57:30,0.2,1000,700,4,15,7,13,11,4,3,1242,7163.582,,2.288818359375e-05,,-3163.5820000000003
185,15:27:00,0.2,1000,700,4,27,7,20,19,8,3,2021,7953.396000000001,,2.9802322387695312e-05,,46.60399999999936
155,07:44:30,0.4,1000,700,6,45,9,27,34,11,3,1770,7066.404,,5.2928924560546875e-05,,3933.5959999999995
55,15:58:00,0.2,1000,700,5,71,15,43,56,15,10,3640.262616320688,18060.839,,7.867813110351562e-05,,-3060.839
194,07:10:00,0.4,1000,700,10,52,15,21,35,17,5,2236,9494.49,,5.2928924560546875e-05,,7505.51
187,16:47:00,0,1000,700,2,46,9,38,41,5,7,0.0,14725.530000000002,,5.984306335449219e-05,,-9725.530000000002
195,13:21:00,0.4,1000,700,10,42,18,28,28,14,8,2132.0296170365036,9705.969,,4.696846008300781e-05,,4294.031000000001
192,08:28:00,0.4,1000,700,6,34,12,22,25,9,6,1454.1110415175353,8179.691999999999,,4.100799560546875e-05,,820.3080000000009
193,08:16:30,0.2,1000,700,3,44,7,30,36,8,4,1266,6043.102000000002,,4.601478576660156e-05,,1956.8979999999983
196,16:23:30,0.4,1000,700,7,29,11,12,17,12,4,1562,6356.775,,3.409385681152344e-05,,5643.225
155,13:50:00,0.4,1000,700,7,31,10,23,21,10,3,1507.833482462418,6357.883,,4.029273986816406e-05,,3642.117
55,18:56:00,1,1000,700,28,58,29,40,42,16,1,5020,19099.205000000005,,6.890296936035156e-05,,-3099.2050000000054
195,07:09:00,0.4,1000,700,10,50,16,31,38,12,6,1280,9064.823999999999,,5.602836608886719e-05,,2935.1760000000013
55,18:56:00,0.4,1000,700,12,56,20,37,47,9,8,5020,21082.475,,6.985664367675781e-05,,-12082.474999999999
199,16:04:00,0.2,1000,700,5,39,15,22,26,13,10,2370,12847.661,,5.1975250244140625e-05,,152.33899999999994
191,07:22:00,0.4,1000,700,6,34,10,16,22,12,4,1194,5080.948734896091,,3.719329833984375e-05,,6919.051265103909
55,18:56:00,0,1000,700,2,62,10,48,55,7,8,0,22605.934999999998,,8.511543273925781e-05,,-15605.934999999998
187,13:47:00,0,1000,700,2,37,8,33,33,4,6,0,13832.248999999998,,5.888938903808594e-05,,-9832.248999999998
192,14:50:30,0.4,1000,700,7,53,14,29,41,12,7,1804.1445955619201,8526.435,,6.4849853515625e-05,,3473.5650000000005
187,13:47:00,0.4,1000,700,13,41,18,32,33,8,5,2421.9260916249186,12003.229000000001,,4.887580871582031e-05,,-4003.229000000001
