route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
187,13:47:00,0,1100,300,1,2,38,43,34,11,9,29,32,11,3294.0,14461.387999999999,0.10454297065734863,0.12000393867492676,0.0,17438.612
191,07:22:00,0.4,1100,300,5,6,31,21,14,13,21,10,8,13,1358.0,5423.882734896091,0.0076100826263427734,0.0040340423583984375,0.0,5576.117265103909
199,16:04:00,0.2,1100,300,4,5,43,30,21,14,17,26,16,14,3069.0,13207.301,0.03680896759033203,0.029208898544311523,0.0,15392.699
195,13:21:00,0.4,1100,300,9,10,40,36,24,22,25,15,14,22,2468.0,9517.533,0.022185087203979492,0.02123093605041504,0.0,6982.467000000001
194,07:10:00,0.4,1100,300,9,10,51,29,25,14,18,33,15,14,2372.0,9920.453999999998,0.029758930206298828,0.07168412208557129,0.0,26379.546000000002
192,14:50:30,0,1100,300,1,2,53,40,21,21,24,29,19,21,2118.0,9385.818,0.12682390213012695,0.3060319423675537,0.0,22514.182
185,07:21:00,0,1100,300,1,2,89,58,40,20,25,64,38,20,3527.0,15636.57028049104,0.4260439872741699,0.19086599349975586,0.0,54763.43068678009
196,09:57:30,0,1100,300,1,2,15,18,17,3,2,13,15,3,1990.4809413027906,8898.246,0.009491205215454102,0.09718608856201172,0.0,5401.754000000001
193,13:30:30,0,1100,300,1,2,48,32,16,18,23,25,14,18,1589.0,7079.412000000001,0.0750269889831543,0.0880579948425293,0.0,20420.588
185,07:21:00,0.4,1100,300,11,12,89,48,38,22,34,55,26,22,3527.0,15337.58300000001,0.07097005844116211,0.1019599437713623,0.0,45162.417
191,13:41:30,0.2,1100,300,3,4,23,17,12,9,12,11,8,9,1422.0,6109.509684128758,0.008137941360473633,0.004374980926513672,0.0,5990.490315871393
193,13:30:30,0.4,1100,300,6,7,48,28,17,18,30,18,10,18,1569.2321045096614,6737.3240000000005,0.022232770919799805,0.008581876754760742,0.0,13062.676
199,13:24:30,0.4,1100,300,8,9,30,26,21,14,17,13,12,14,3030.0,12630.503999999999,0.01028895378112793,0.005944967269897461,0.0,1669.496000000001
199,13:24:30,1,1100,300,19,20,30,20,24,16,19,11,4,16,2990.0,12192.131999999998,0.005563974380493164,0.0014460086822509766,0.0,-92.13199999999779
187,16:47:00,0.2,1100,300,6,7,43,47,37,17,17,26,30,17,3338.0,14712.669,0.0612642765045166,0.020487070083618164,0.0,13887.331
55,15:58:00,1,1100,300,22,23,71,40,27,36,55,16,4,36,4074.0,15644.422000000002,0.028795957565307617,0.002183198928833008,0.0,1955.5779999999977
187,16:47:00,1,1100,300,29,30,43,34,37,27,27,16,7,27,3294.0,13123.513999999997,0.012880802154541016,0.0016770362854003906,0.0,4476.486000000003
185,15:27:00,0.2,1100,300,3,4,26,27,17,14,13,13,13,14,2159.0,9252.3,0.016740083694458008,0.02213907241821289,0.0,5047.700000000001
192,08:28:00,0.4,1100,300,5,6,33,25,17,14,15,18,11,14,1976.0695687186817,8368.284,0.010350227355957031,0.017650127410888672,0.0,11431.716
55,18:56:00,1,1100,300,27,28,58,34,33,29,37,21,5,29,5139.0,19680.796000000002,0.016392946243286133,0.0023581981658935547,0.0,3419.203999999998
193,08:16:30,0.4,1100,300,5,6,43,25,16,15,22,21,10,15,1472.0,6100.402,0.016120195388793945,0.0040781497955322266,0.0,16999.598
198,19:44:00,1,1100,300,7,8,23,9,10,7,11,12,2,7,946.0,3464.248,0.0020999908447265625,0.0010421276092529297,0.0,9735.752
155,13:50:00,1,1100,300,14,15,32,21,17,19,24,8,2,19,1607.0,6196.468000000001,0.005713224411010742,0.0010530948638916016,0.0,2603.5319999999992
187,13:47:00,0.2,1100,300,6,7,38,40,34,13,12,26,27,13,3338.0,14308.289999999999,0.030298233032226562,0.012339115142822266,0.0,14291.71
196,16:23:30,0,1100,300,1,2,29,23,19,6,5,24,17,6,2060.0,8826.838999999998,0.025964021682739258,1.2203359603881836,0.0,17573.161
194,07:10:00,0,1100,300,1,2,51,36,25,13,14,37,23,13,2372.0,10407.921,0.09997701644897461,0.16072416305541992,0.0,30292.078999999998
192,08:28:00,1,1100,300,12,13,33,18,16,15,16,17,3,15,1966.275724767358,7896.714000000001,0.004976987838745117,0.0010869503021240234,0.0,10803.286
155,13:50:00,0.2,1100,300,3,4,32,26,16,14,17,15,12,14,1646.0,6856.992,0.019562959671020508,0.022053956985473633,0.0,9643.008
193,08:16:30,1,1100,300,13,14,43,18,14,18,32,11,0,18,1444.0,5418.034000000001,0.006376981735229492,0.0008440017700195312,0.0,6681.965999999999
196,16:23:30,1,1100,300,14,15,29,14,17,12,21,8,2,12,1954.0,7484.485000000001,0.004832029342651367,0.0011181831359863281,0.0,1315.5149999999994
155,13:50:00,0,1100,300,1,2,32,28,17,13,14,18,15,13,1646.0,7354.912999999999,0.040335893630981445,0.03838396072387695,0.0,12445.087000000001
193,08:16:30,0,1100,300,1,2,43,29,17,14,21,22,15,14,1472.0,6423.114,0.05748724937438965,0.03976917266845703,0.0,17776.886
192,08:28:00,0,1100,300,1,2,33,29,20,11,12,21,18,11,1991.0,8808.143,0.04482269287109375,0.13334989547729492,0.0,14291.857
194,07:10:00,1,1100,300,22,23,51,19,26,16,28,23,3,16,2334.0,8928.65,0.008812665939331055,0.001032114028930664,0.0,16371.35
198,19:44:00,0,1100,300,1,2,23,15,11,6,7,16,9,6,946.0,3955.6100000000006,0.010591983795166016,0.007773160934448242,0.0,13644.39
185,15:27:00,0.4,1100,300,7,8,26,25,18,15,17,9,10,15,2127.43450250537,8830.391999999996,0.008731842041015625,0.0033500194549560547,0.0,1069.6080000000038
192,08:28:00,0.2,1100,300,2,3,33,28,19,12,12,21,16,12,1991.0,8808.142999999935,0.02628016471862793,0.06249690055847168,0.0,14291.85700000002
187,13:47:00,0.4,1100,300,12,13,38,35,32,16,16,22,19,16,3338.0,13591.056,0.01979231834411621,0.015360832214355469,0.0,10608.944
55,18:56:00,0,1100,300,1,2,58,52,43,11,11,47,41,11,5139.0,22551.705451478436,0.23110008239746094,0.571465015411377,0.0,29148.29535964273
155,13:50:00,0.4,1100,300,6,7,32,24,16,15,20,12,9,15,1607.0,6894.880999999999,0.010373830795288086,0.017423152923583984,0.0,6305.119000000001
193,08:16:30,0.2,1100,300,2,3,43,28,17,14,21,22,14,14,1472.0,6494.521999999999,0.03586697578430176,0.01542210578918457,0.0,17705.478000000003
187,16:47:00,0,1100,300,1,2,43,52,37,17,17,26,35,17,3338.0,14712.669,0.19524478912353516,1.3603100776672363,0.0,13887.331
