route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
55,18:56:00,0.4,1000,700,11,12,58,27,26,13,40,18,14,13,6155.552098246233,19616.340999999997,0.0314791202545166,0.0720069408416748,0.0,-1616.3409999999967
195,07:09:00,0.4,1000,700,9,10,48,21,24,7,8,40,14,7,3557.0,12948.919999999998,0.008962869644165039,0.0042269229888916016,0.0,27051.08
196,16:23:30,0.4,1000,700,6,7,29,14,12,9,14,15,5,9,2893.0,8353.595,0.005262136459350586,0.04432988166809082,0.0,6646.405000000001
199,16:04:00,0,1000,700,1,2,43,25,24,3,2,41,22,3,3467.6622151634438,13287.288999999999,0.04353189468383789,0.012233972549438477,0.0,27712.711000000003
192,14:50:30,0.2,1000,700,3,4,53,21,23,2,2,51,19,2,3108.0,10855.734999999999,0.020378828048706055,0.04041600227355957,0.0,40144.265
195,07:09:00,1,1000,700,22,23,48,12,29,6,6,42,6,6,4214.0,11736.784,0.005663156509399414,0.0027179718017578125,0.0,30263.216
196,09:57:30,0.4,1000,700,6,7,15,9,14,2,3,12,7,2,2791.0,9795.826,0.0016040802001953125,0.02680802345275879,0.0,2204.174000000001
155,07:44:30,0.2,1000,700,2,3,45,24,12,15,35,10,9,15,1795.0008574922467,6878.033,0.02334904670715332,0.01633596420288086,0.0,3121.9669999999996
55,15:58:00,0.4,1000,700,9,10,71,28,30,8,17,54,20,8,4390.138846635644,16644.606,0.018197059631347656,0.04467487335205078,0.0,37355.394
196,16:23:30,0.2,1000,700,3,4,29,16,16,4,4,25,12,4,2557.0,9581.375,0.006690025329589844,0.01140594482421875,0.0,15418.625
195,07:09:00,0,1000,700,1,2,48,29,21,10,10,38,19,10,2615.0,9980.453,0.06398415565490723,0.14367008209228516,0.0,28019.547
199,16:04:00,1,1000,700,19,20,43,8,25,3,3,40,5,3,5004.922855523735,12731.883999999996,0.003980875015258789,0.0009210109710693359,0.0,27268.116
55,18:56:00,0.2,1000,700,5,6,58,31,18,19,46,12,12,19,6490.0,14627.29,0.0333099365234375,0.1559610366821289,0.0,-2627.290000000001
195,07:09:00,0.2,1000,700,4,5,48,26,15,16,31,17,10,16,3168.0,9976.908,0.019160032272338867,0.060041189193725586,0.0,7023.092000000001
196,09:57:30,0.2,1000,700,3,4,15,10,14,0,0,15,10,0,2348.421886184682,8676.52,0.0016980171203613281,0.0008208751678466797,0.0,6323.48
155,07:44:30,0.4,1000,700,5,6,45,20,12,14,34,11,6,14,1789.2447133738933,5633.118,0.013080120086669922,0.00403904914855957,0.0,5366.882
55,15:58:00,0.2,1000,700,4,5,71,31,26,10,16,55,21,10,5282.0,17213.758,0.037519216537475586,0.0450291633605957,0.0,37786.242
192,14:50:30,0.4,1000,700,6,7,53,18,20,5,5,48,13,5,3092.491857551897,9809.738,0.00941610336303711,0.0051000118255615234,0.0,38190.262
194,15:17:30,1,1000,700,22,23,47,11,30,4,7,40,7,4,3800.0,11169.848999999998,0.00523066520690918,0.001219034194946289,0.0,28830.151
185,15:27:00,1,1000,700,17,18,26,8,23,3,3,23,5,3,3484.5553939990423,10057.104999999998,0.002924203872680664,0.0012137889862060547,0.0,12942.895000000002
198,10:24:30,0,1000,700,1,2,17,10,12,0,0,17,10,0,1161.2313215819595,4449.573,0.003728151321411133,0.0014069080352783203,0.0,12550.427
191,07:22:00,0,1000,700,1,2,31,16,17,1,1,30,15,1,2175.85101050885,8337.363734896091,0.014104127883911133,0.002444028854370117,0.0,21662.63626510391
195,13:21:00,0,1000,700,1,2,40,31,19,14,12,28,17,14,2585.0,9856.329,0.059587955474853516,0.1078939437866211,0.0,18143.671000000002
194,15:17:30,0.2,1000,700,4,5,48,26,19,12,38,10,14,12,4371.0,10851.501999999999,0.019763946533203125,0.024110794067382812,0.0,-851.5019999999986
198,19:44:00,0.4,1000,700,3,4,23,12,15,1,1,22,11,1,1601.3410805893363,6135.973,0.0030100345611572266,0.0013039112091064453,0.0,15864.027
191,13:41:30,0,1000,700,1,2,23,13,14,1,1,22,12,1,1714.017082323022,6567.721684128705,0.00773310661315918,0.0016989707946777344,0.0,15432.278315871295
198,10:24:30,0.4,1000,700,3,4,17,8,11,1,1,16,7,1,1355.9001506203786,4449.573,0.0016810894012451172,0.0015668869018554688,0.0,11550.427
155,07:44:30,1,1000,700,12,13,45,13,21,5,7,38,8,5,3007.0,10756.883,0.004553318023681641,0.0032949447631835938,0.0,27243.117
155,07:44:30,0,1000,700,1,2,45,25,26,1,1,44,24,1,2673.264622106897,10243.339,0.044679880142211914,0.00542902946472168,0.0,33756.661
191,13:41:30,1,1000,700,14,15,23,5,17,3,4,19,2,3,2219.0,5535.810684128705,0.0021338462829589844,0.0008740425109863281,0.0,13464.189315871296
198,10:24:30,0.2,1000,700,2,3,17,9,12,0,0,17,9,0,1161.2313215819595,4449.573,0.0019898414611816406,0.00084686279296875,0.0,12550.427
198,10:24:30,1,1000,700,7,8,17,4,10,2,2,15,2,2,1350.9999999999927,3865.7749999999996,0.0011050701141357422,0.0009770393371582031,0.0,11134.225
195,13:21:00,1,1000,700,22,23,40,13,31,5,3,37,8,5,4198.532808398952,12658.089000000002,0.00553584098815918,0.0032072067260742188,0.0,24341.911
191,07:22:00,1,1000,700,13,14,31,5,15,4,6,25,1,4,2197.0,5613.634734896091,0.0020978450775146484,0.0005528926849365234,0.0,19386.36526510391
