route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
155,13:50:00,0.2,1000,700,3,4,32,18,18,4,7,25,14,4,2273.0693599379592,8144.5560000000005,0.008477210998535156,0.007416963577270508,0.0,16855.444
193,08:16:30,1,1000,700,13,14,43,9,20,3,6,37,6,3,2424.0270520162267,7796.377,0.0034160614013671875,0.0007791519165039062,0.0,29203.623
196,16:23:30,1,1000,700,14,15,29,8,18,5,17,12,3,5,3088.0,7970.2880000000005,0.003342151641845703,0.0012021064758300781,0.0,4029.7119999999995
155,13:50:00,0,1000,700,1,2,32,20,22,0,0,32,20,0,2196.351258649491,8415.916000000001,0.022230148315429688,0.0033111572265625,0.0,23584.084
193,08:16:30,0,1000,700,1,2,43,21,23,0,0,43,21,0,2896.9233178239083,11100.348000000002,0.03355884552001953,0.0038139820098876953,0.0,31899.652
192,08:28:00,0,1000,700,1,2,33,22,17,7,7,26,15,7,2291.0,8510.498000000001,0.02698993682861328,0.01661515235900879,0.0,17489.502
194,07:10:00,1,1000,700,22,23,51,9,28,4,7,44,5,4,3787.0,9769.698999999999,0.00605320930480957,0.0021839141845703125,0.0,34230.301
198,19:44:00,0,1000,700,1,2,23,14,16,0,0,23,14,0,1643.0977466595068,6295.974999999999,0.008864879608154297,0.015810012817382812,0.0,16704.025
185,15:27:00,0.4,1000,700,7,8,26,18,23,3,3,23,15,3,3308.31836077309,11505.283000000003,0.00504612922668457,0.0017590522766113281,0.0,11494.716999999997
192,08:28:00,0.2,1000,700,2,3,33,21,15,9,11,22,12,9,3342.0,10865.759999999998,0.014288902282714844,0.0916600227355957,0.0,11134.240000000002
187,13:47:00,0.4,1000,700,12,13,38,21,28,6,6,32,15,6,4845.0,15428.124000000002,0.010345935821533203,0.06188511848449707,0.0,16571.875999999997
55,18:56:00,0,1000,700,1,2,58,35,36,1,1,57,34,1,5276.022168038675,20216.511000000002,0.10744285583496094,0.009145021438598633,0.0,36783.489
155,13:50:00,0.4,1000,700,6,7,32,16,22,1,2,30,15,1,2470.2817048437573,9443.704000000203,0.004882335662841797,0.0061948299407958984,0.0,20556.296000000242
193,08:16:30,0.2,1000,700,2,3,43,20,13,10,20,23,10,10,2209.3826279527566,7591.200000000001,0.01548004150390625,0.00604701042175293,0.0,15408.8
187,16:47:00,0,1000,700,1,2,43,32,27,7,7,36,25,7,3369.0,12610.559999999992,0.06865787506103516,0.07327795028686523,0.0,23389.44000000001
