route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
185,07:21:00,0,1000,700,1,2,89,45,2,45,89,0,0,45,6359.0,10153.559999999996,0.2691199779510498,0.0018439292907714844,0.0,-10153.559999999996
196,09:57:30,0,1000,700,1,2,15,10,2,10,15,0,0,10,875.0,1397.115,0.0033600330352783203,0.00040602684020996094,0.0,-1397.115
193,13:30:30,0,1000,700,1,2,48,21,2,21,47,1,0,21,3146.0,5023.307000000001,0.03350710868835449,0.0006730556488037109,0.0,-4023.3070000000007
185,07:21:00,0.4,1000,700,11,12,89,32,12,32,80,9,0,32,5253.0,10534.188,0.03426694869995117,0.0006511211395263672,0.0,-1534.188
191,13:41:30,0.2,1000,700,3,4,23,11,4,11,22,1,0,11,2956.0,4892.327684128706,0.0028972625732421875,0.0004029273986816406,0.0,-3892.327684128706
193,13:30:30,0.4,1000,700,6,7,48,17,7,17,41,7,0,17,2464.0,5423.321999999999,0.007628202438354492,0.0006918907165527344,0.0,1576.6780000000008
199,13:24:30,0.4,1000,700,8,9,30,16,9,16,21,9,0,16,5688.0,10643.723999999998,0.005277156829833984,0.0005340576171875,0.0,-1643.7239999999983
199,13:24:30,1,1000,700,19,20,30,10,20,10,13,17,0,10,4871.0,11183.928,0.003608226776123047,0.0008718967437744141,0.0,5816.072
187,16:47:00,0.2,1000,700,6,7,43,26,7,26,39,4,0,26,5325.0,11270.348,0.012251853942871094,0.0005829334259033203,0.0,-7270.348
55,15:58:00,1,1000,700,22,23,71,18,23,18,30,41,0,18,6866.0,15261.705000000002,0.011204719543457031,0.0006110668182373047,0.0,25738.295
187,16:47:00,1,1000,700,29,30,43,10,30,10,14,29,0,10,5546.0,12328.012,0.005433082580566406,0.0005891323089599609,0.0,16671.987999999998
185,15:27:00,0.2,1000,700,3,4,26,20,4,20,24,2,0,20,3860.0,6975.874,0.009886980056762695,0.0005710124969482422,0.0,-4975.874
192,08:28:00,0.4,1000,700,5,6,33,16,6,16,29,4,0,16,3306.0,6504.487999999999,0.005519866943359375,0.00043201446533203125,0.0,-2504.4879999999994
55,18:56:00,1,1000,700,27,28,58,15,28,15,19,39,0,15,8510.0,19058.935,0.00927281379699707,0.0006270408630371094,0.0,19941.065
193,08:16:30,0.4,1000,700,5,6,43,16,6,16,26,17,0,16,2648.0,5013.181,0.0075719356536865234,0.0008940696716308594,0.0,11986.819
198,19:44:00,1,1000,700,7,8,23,8,8,8,15,8,0,8,1591.0,3464.262,0.001850128173828125,0.0004220008850097656,0.0,4535.737999999999
155,13:50:00,1,1000,700,14,15,32,10,15,10,18,14,0,10,2754.0,6044.251000000001,0.0029909610748291016,0.00042700767517089844,0.0,7955.748999999999
187,13:47:00,0.2,1000,700,6,7,38,27,7,27,35,3,0,27,5347.0,11164.076000000001,0.011886835098266602,0.0004858970642089844,0.0,-8164.076000000001
196,16:23:30,0,1000,700,1,2,29,17,2,17,29,0,0,17,1179.0,1882.4130000000002,0.014355182647705078,0.0005390644073486328,0.0,-1882.4130000000002
